"book_title","paper_id","dc_type","authors","year","source","keyword"
"A Machine Learning Approach to the Prediction of Tidal Currents.","ISOPE-I-16-514","conference-paper","Sarkar, Dripta, University of Oxford | Osborne, Michael, University of Oxford | Adcock, Thomas, University of Oxford",2016,"ISOPE","'machine+learning'"
"Production Optimization Using Machine Learning in Bakken Shale","URTEC-2902505-MS","conference-paper","Luo, Guofan, University of Houston | Tian, Yao, University of Houston | Bychina, Mariia, University of Houston | Ehlig-Economides, Christine, University of Houston",2018,"URTEC","'machine+learning'"
"A machine learning approach to facies classification using well logs","SEG-2017-17729805","conference-paper","Bestagini, Paolo, Politecnico di Milano | Lipari, Vincenzo, Politecnico di Milano | Tubaro, Stefano, Politecnico di Milano",2017,"SEG","'machine+learning'"
"The Application of Machine Learning to Rock Mechanics","ISRM-7CONGRESS-1991-167","conference-paper","Zhang, Qing, Department of Civil Engineering, Northern Jiaotong University | Song, Jiarong, Department of Civil Engineering, Northern Jiaotong University",1991,"ISRM","'machine+learning'"
"Synthetic Well Log Generation Using Machine Learning Techniques","URTEC-2877021-MS","conference-paper","Akinnikawe, Oyewande, Devon Energy Corp E&P | Lyne, Stacey, Devon Energy Corp E&P | Roberts, Jon, Devon Energy Corp E&P",2018,"URTEC","'machine+learning'"
"Machine Learning Methods to Speed up Compositional Reservoir Simulation","SPE-154505-MS","conference-paper","Gaganis, Vassilis, Technical University of Crete | Varotsis, Nikos, Tech. U. of Crete",2012,"SPE","'machine+learning'"
"Machine Learning Algorithms Applied to Detection of Well Control Events","SPE-188104-MS","conference-paper","Unrau, Sean, Pason Systems Corp. | Torrione, Pete, CoVar Applied Technologies Inc | Hibbard, Mark, CoVar Applied Technologies Inc | Smith, Russell, Pason System Corp. | Olesen, Lars, Pason System Corp. | Watson, Joe, Rawabi-Pason LLC.",2017,"SPE","'machine+learning'"
"Using supervised machine learning to distinguish microseismic from noise events","SEG-2017-17727697","conference-paper","Zhao, Zhengguang, The University of Queensland | Gross, Lutz, The University of Queensland",2017,"SEG","'machine+learning'"
"Seismic facies classification using some unsupervised machine-learning methods","SEG-2018-2997356","conference-paper","Chopra, Satinder, TGS, Calgary | Marfurt, Kurt J., University of Oklahoma, Norman",2018,"SEG","'machine+learning'"
"Machine-Learning-Based Automatic Well-Log Depth Matching","SPWLA-2018-v59n6a10","journal-paper","Zimmermann, Timon, Swiss Federal Institute of Technology | Liang, Lin, Schlumberger | Zeroug, Smaine, Schlumberger",2018,"SPWLA","'machine+learning'"
"Automatic microseismic-event detection via supervised machine learning","SEG-2018-2998279","conference-paper","Qu, Shan, Delft University of Technology, Delphi Consortium | Verschuur, Eric, Delft University of Technology, Delphi Consortium | Chen, Yangkang, National Center for Computational Sciences, Oak Ridge National Laboratory",2018,"SEG","'machine+learning'"
"Geological Feature Prediction Using Image-Based Machine Learning","SPWLA-2018-v59n6a1","journal-paper","Jobe, T.D., Aramco Research Center | Vital-Brazil, E., IBM Research | Khaif, M., Delft University of Technology",2018,"SPWLA","'machine+learning'"
"AVA classification as an unsupervised machine-learning problem","SEG-2016-13874419","conference-paper","Bougher, Ben, University of British Columbia | Herrmann, Felix, University of British Columbia",2016,"SEG","'machine+learning'"
"Segmentation of shale SEM images using machine learning","SEG-2017-17738502","conference-paper","Tang, David, University of Texas–Austin | Spikes, Kyle, University of Texas–Austin",2017,"SEG","'machine+learning'"
"Machine Learning Applied to Optimize Duvernay Well Performance","SPE-189823-MS","conference-paper","Bowie, Braden, Apache Corporation",2018,"SPE","'machine+learning'"
"SUPPLEMENTARY/SPE-182696-SUP.pdf","SPE-182696-MS","media","",NA,NA,"'machine+learning'"
"SUPPLEMENTARY/OTC-28990-SUP.pdf","OTC-28990-MS","media","",NA,NA,"'machine+learning'"
"SUPPLEMENTARY/SPE-191789-SUP.pdf","SPE-191789-MS","media","",NA,NA,"'machine+learning'"
"Video:                  A Large-Scale Study for a Multi-Basin Machine Learning Model Predicting Horizontal Well Production","SPE-191538-PT","presentation","Amr, Salma, Raisa Energy | El Ashhab, Hadeer, Raisa Energy | El-Saban, Motaz, Raisa Energy | Schietinger, Paul, Raisa Energy | Caile, Curtis, Raisa Energy | Kaheel, Ayman, Raisa Energy | Rodriguez, Luis, Raisa Energy",2018,"SPE","'machine+learning'"
"SUPPLEMENTARY/SPE-191604-18RPTC-RU-SUP.pdf","SPE-191604-18RPTC-RU","media","",NA,NA,"'machine+learning'"
"SUPPLEMENTARY/SPE-191604-18RPTC-MS-SUP.pdf","SPE-191604-18RPTC-MS","media","",NA,NA,"'machine+learning'"
"Machine Learning Derived Correlation to Determine Water Saturation in Complex Lithologies","SPE-192307-MS","conference-paper","Khan, Mohammad Rasheed, King Fahd University of Petroleum & Minerals | Tariq, Zeeshan, King Fahd University of Petroleum & Minerals | Abdulraheem, Abdulazeez, King Fahd University of Petroleum & Minerals",2018,"SPE","'machine+learning'"
"Video:                  Data Mining/Machine Learning - What is Different Now? Is it Really New? (Ozkan)","SPE-195174-PT","presentation","Ozkan, Erdal, Colorado School of Mines",2018,"SPE","'machine+learning'"
"Predicting Sweet Spots in Shale Plays by DNA Fingerprinting and Machine Learning","URTEC-2671117-MS","conference-paper","Te Stroet, Chris, Biodentify | Zwaan, Jonathan, Biodentify | de Jager, Gerard, Biodentify | Montijn, Roy, TNO | Schuren, Frank, TNO",2017,"URTEC","'machine+learning'"
"Video:                  Machine Learning Analysis of Satellite Imagery for Detection of Permian Basin Water Impoundments","SPE-191743-PT","presentation","Adler, Joshua, Sourcewater, Inc. | Scanlon, Bridget, University of Texas, Bureau of Economic Geology | Reedy, Robert, University of Texas, Bureau of Economic Geology",2018,"SPE","'machine+learning'"
"Automated time-window selection based on machine learning for full-waveform inversion","SEG-2017-17734162","conference-paper","Chen, Yangkang, Oak Ridge National Laboratory | Hill, Judith, Oak Ridge National Laboratory | Lei, Wenjie, Princeton University | Lefebvre, Matthieu, Princeton University | Tromp, Jeroen, Princeton University | Bozdag, Ebru, Colorado School of Mines | Komatitsch, Dimitri, LMA, CNRS UPR 7051",2017,"SEG","'machine+learning'"
"Machine Learning Application for Wellbore Damage Removal in the Wilmington Field","SPE-190037-MS","conference-paper","Kellogg, Ryan P., California Resources Corporation | Chessum, William, California Resources Corporation | Kwong, Ryan, California Resources Corporation",2018,"SPE","'machine+learning'"
"Using Machine Learning to Predict Lost Circulation in the Rumaila Field, Iraq","SPE-191933-MS","conference-paper","Al-Hameedi, Abo Taleb T., Missouri University of Science and Technology | Alkinani, Husam H., Missouri University of Science and Technology | Dunn-Norman, Shari, Missouri University of Science and Technology | Flori, Ralph E., Missouri University of Science and Technology | Hilgedick, Steven A., Missouri University of Science and Technology | Amer, Ahmed S., Newpark Technology Center/ Newpark Drilling Fluids | Alsaba, Mortadha T., Australian College of Kuwait",2018,"SPE","'machine+learning'"
"Application of Machine Learning for Oilfield Data Quality Improvement (Russian)","SPE-191601-18RPTC-RU","conference-paper","Andrianova, Alla, Gazpromneft Science & Technology Centre | Simonov, Maxim, Gazpromneft Science & Technology Centre | Perets, Dmitry, Gazpromneft Science & Technology Centre | Margarit, Andrey, Gazpromneft Science & Technology Centre | Serebryakova, Darya, Gazpromneft Science & Technology Centre | Bogdanov, Yuriy, MIPT Engineering Center | Budennyy, Semen, MIPT Engineering Center | Volkov, Nikita, MIPT Engineering Center",2018,"SPE","'machine+learning'"
"Machine learning approaches for seismic facies prediction and reservoir property inversion","SEG-2018-2996374","conference-paper","Jin, Long, Shell",2018,"SEG","'machine+learning'"
"Machine learning-based method for automated well-log processing and interpretation","SEG-2018-2996973","conference-paper","Wu, Po-Yen, Schlumberger | Jain, Vikas, Schlumberger | Kulkarni, Mandar S, Schlumberger | Abubakar, Aria, Schlumberger",2018,"SEG","'machine+learning'"
"Video:                  Data Mining/Machine Learning - What is Different Now? Is it Really New? (Reid/Dindoruk)","SPE-195173-PT","presentation","Reid, David, Shell | Dindoruk, Birol, Shell International E&P Co.",2018,"SPE","'machine+learning'"
"Geological Facies Prediction Using Computed Tomography in a Machine Learning and Deep Learning Environment","URTEC-2901881-MS","conference-paper","Odi, Uchenna, Devon Energy Corporation | Nguyen, Thomas, Devon Energy Corporation",2018,"URTEC","'machine+learning'"
"Increasing Production Efficiency via Compressor Failure Predictive Analytics Using Machine Learning","OTC-28990-MS","conference-paper","Pandya, D., Shell Global Solutions | Srivastava, A., Shell Business Operations | Doherty, A., Shell U.K. Limited | Sundareshwar, S., Shell UK Ltd. | Needham, C., Shell U.K. Oil Products | Chaudry, A., Shell Global Solutions | KrishnaIyer, S., Shell Business Operations",2018,"OTC","'machine+learning'"
"Machine Learning Approach for Irregularity Detection in Dynamic Operating Conditions","SPE-181435-MS","conference-paper","Sidahmed, Mohamed, BP America Production Company | Bailey, Richard, BP Exploration Operating Company",2016,"SPE","'machine+learning'"
"Assessment of Data-Driven, Machine Learning Techniques for Machinery Prognostics of Offshore Assets","OTC-27577-MS","conference-paper","Lu, Ping, American Bureau of Shipping | Liu, Haitao, American Bureau of Shipping | Serratella, Christopher, American Bureau of Shipping | Wang, Xiaozhi, American Bureau of Shipping",2017,"OTC","'machine+learning'"
"Feature Detection for Digital Images Using Machine Learning Algorithms and Image Processing","URTEC-2886325-MS","conference-paper","Tian, Xiao, University of Texas | Daigle, Hugh, University of Texas | Jiang, Han, University of Texas",2018,"URTEC","'machine+learning'"
"Development of Software To Predict Mud Weight For Pre-Salt Drilling Zones Using Machine Learning","OTC-24341-MS","conference-paper","Pereira, Luis Guilherme, Intelie | Gandelman, Roni Abensur, Petrobras | Clemente, Ricardo Gomes, Intelie | Teixeira, Pedro Henriques Santos, Intelie | Teixeira, Gleber T., Petrobras",2013,"OTC","'machine+learning'"
"Video:                  Machine Learning Applied to Multiwell Test Analysis and Flow Rate Reconstruction","SPE-175059-PT","presentation","Tian, Chuan, Stanford University | Horne, Roland N., Stanford University",2015,"SPE","'machine+learning'"
"Image Processing and Machine Learning Approaches for Petrographic Thin Section Analysis (Russian)","SPE-187885-RU","conference-paper","Budennyy, Semen, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Pachezhertsev, Alexey, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Bukharev, Alexander, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Erofeev, Artem, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Mitrushkin, Dmitry, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Belozerov, Boris, NTC Gazpromneft",2017,"SPE","'machine+learning'"
"Image Processing and Machine Learning Approaches for Petrographic Thin Section Analysis","SPE-187885-MS","conference-paper","Budennyy, Semen, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Pachezhertsev, Alexey, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Bukharev, Alexander, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Erofeev, Artem, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Mitrushkin, Dmitry, Center for Engineering and Technology of Moscow Institute of Physics and Technology | Belozerov, Boris, NTC Gazpromneft",2017,"SPE","'machine+learning'"
"Prediction of Optimum Injection Rate for Carbonate Acidizing Using Machine Learning","SPE-192344-MS","conference-paper","Sidaoui, Ziad, Schlumberger | Abdulraheem, Abdulazeez, KFUPM | Abbad, Mustapha, Schlumberger",2018,"SPE","'machine+learning'"
"Ensemble Machine Learning: The Latest Development in Computational Intelligence for Petroleum Reservoir Characterization","SPE-168111-MS","conference-paper","Anifowose, Fatai A., King Fahd University of Petroleum and Minerals",2013,"SPE","'machine+learning'"
"Intelligent Tool to Design Fracturing, Drilling, Spacer and Cement Slurry Fluids Using Machine Learning Algorithms","SPE-175238-MS","conference-paper","Shadravan, Arash, ReservoirFocus | Tarrahi, Mohammadali, Texas A&M University | Amani, Mahmood, Texas A&M University",2015,"SPE","'machine+learning'"
"Video:                  Automated Remote Monitoring of Offshore Assets Using Satellite Imagery and Machine Learning","OTC-28718-PT","presentation","Araujo, Maria S., Southwest Research Institute | Davila, Daniel S., Southwest Research Institute | Blaisdell, Samantha G., Southwest Research Institute | Van Horn, Adam, Southwest Research Institute",2018,"OTC","'machine+learning'"
"Geobody interpretation through multiattribute surveys, natural clusters, and machine learning","SEG-2017-17790202","conference-paper","Smith, Thomas, Geophysical Insights",2017,"SEG","'machine+learning'"
"Applications of Machine Learning and Data Mining in SpeedWise® Drilling Analytics: A Case Study","SPE-193224-MS","conference-paper","Ma, Zheren, Quantum Reservoir Impact | Karimi Vajargah, Ali, Quantum Reservoir Impact | Lee, Hanna, Quantum Reservoir Impact | Kansao, Rami, Quantum Reservoir Impact | Darabi, Hamed, Quantum Reservoir Impact | Castineira, David, Quantum Reservoir Impact",2018,"SPE","'machine+learning'"
"Machine Learning as a Reliable Technology for Evaluating Time/Rate Performance of Unconventional Wells","SPE-174784-PA","journal-paper","Fulford, David S., Apache Corporation | Bowie, Braden, Apache Corporation | Berry, Michael E., Apache Corporation | Bowen, Bo, Apache Corporation | Turk, Derrick W., Terminus Data Science",2016,"SPE","'machine+learning'"
"Detecting Failures and Optimizing Performance in Artificial Lift Using Machine Learning Models","SPE-190090-MS","conference-paper","Pennel, Mike, OspreyData Inc. | Hsiung, Jeffrey, OspreyData Inc. | Putcha, V. B., OspreyData Inc.",2018,"SPE","'machine+learning'"
"Automatic Well Log Analysis Across Priobskoe Field Using Machine Learning Methods (Russian)","SPE-191604-18RPTC-RU","conference-paper","Belozerov, Boris, Science and Technology Center of Gazprom Neft | Bukhanov, Nikita, Science and Technology Center of Gazprom Neft | Egorov, Dmitry, Science and Technology Center of Gazprom Neft | Zakirov, Adel, Science and Technology Center of Gazprom Neft | Osmonalieva, Oksana, Science and Technology Center of Gazprom Neft | Golitsyna, Maria, IBM Science and Technology Center | Reshytko, Alexander, IBM Science and Technology Center | Semenikhin, Artyom, IBM Science and Technology Center",2018,"SPE","'machine+learning'"
"Automatic Well Log Analysis Across Priobskoe Field Using Machine Learning Methods","SPE-191604-18RPTC-MS","conference-paper","Belozerov, Boris, Science and Technology Center of Gazprom Neft | Bukhanov, Nikita, Science and Technology Center of Gazprom Neft | Egorov, Dmitry, Science and Technology Center of Gazprom Neft | Zakirov, Adel, Science and Technology Center of Gazprom Neft | Osmonalieva, Oksana, Science and Technology Center of Gazprom Neft | Golitsyna, Maria, IBM Science and Technology Center | Reshytko, Alexander, IBM Science and Technology Center | Semenikhin, Artyom, IBM Science and Technology Center",2018,"SPE","'machine+learning'"
"Statistical imaging of faults in 3D seismic volumes using a machine learning approach","SEG-2017-17589633","conference-paper","Guitton, Antoine, Colorado School of Mines | Wang, Hua, Colorado School of Mines | Trainor-Guitton, Whitney, Colorado School of Mines",2017,"SEG","'machine+learning'"
"Modeling Non-linear Deformation Time Series of Tunnel Using Gaussian Process Machine Learning","ISRM-SINOROCK-2009-109","conference-paper","Su, Guoshao, Guangxi University, Institute of Rock and Soil Mechanics",2009,"ISRM","'machine+learning'"
"Video:                  Application of Data Science and Machine Learning for Well Completion Optimization","OTC-28632-PT","presentation","Pankaj, Piyush, Schlumberger | Geetan, Steve, EP Energy Corporation | MacDonald, Richard, EP Energy Corporation | Shukla, Priyavrat, Schlumberger | Sharma, Abhishek, Schlumberger | Menasria, Samir, Schlumberger | Xue, Han, Schlumberger | Judd, Tobias, Schlumberger",2018,"OTC","'machine+learning'"
"Digital Rock Physics Combined with Machine Learning for Rock Mechanical Properties Characterization","SPE-193269-MS","conference-paper","Saad, Bilal, BHGE | Negara, Ardi, BHGE | Syed Ali, Shujath, BHGE",2018,"SPE","'machine+learning'"
"Using Machine-Learning for Depositional Facies Prediction in a Complex Carbonate Reservoir","SPWLA-2018-NNNN","conference-paper","Bize-Forest, Nadege, Schlumberger | Lima, Laura, Schlumberger | Baines, Victoria, Schlumberger | Boyd, Austin, Schlumberger | Abbots, Frances, Shell | Barnett, Andrew, Shell",2018,"SPWLA","'machine+learning'"
